elapsed_s	timestamp_ms	rss	cpu_percent
53156.0	1787676119756	12091392	0.0
53158.0	1787676121757	12091392	0.0
53160.0	1787676123759	12091392	0.0
53162.0	1787676125759	12091392	0.0
53164.0	1787676127758	12091392	0.0
53166.0	1787676129750	12091392	0.0
53168.0	1787676131759	12091392	0.0
53170.0	1787676133759	12091392	0.0
53172.0	1787676135759	12091392	0.0
53174.0	1787676137757	12091392	0.0
53176.0	1787676139759	12091392	0.0
53178.0	1787676141752	12091392	0.0
53180.0	1787676143759	12091392	0.0
53182.0	1787676145751	12091392	0.0
53184.0	1787676147759	12091392	0.0
53186.0	1787676149750	12091392	0.0
53188.0	1787676151759	12091392	0.0
53190.0	1787676153759	12091392	0.0
53192.0	1787676155759	12091392	0.0
53194.0	1787676157759	12091392	0.0
53196.0	1787676159755	12091392	0.0
53198.0	1787676161750	12091392	0.0
53200.0	1787676163759	12091392	0.0
53202.0	1787676165751	12091392	0.0
53204.0	1787676167755	12091392	0.0
53206.0	1787676169759	12091392	0.0
53208.0	1787676171750	12091392	0.0
53210.0	1787676173750	12091392	0.0
53212.0	1787676175759	12091392	0.0
53214.0	1787676177760	12091392	0.0
53216.0	1787676179751	12091392	0.0
53218.0	1787676181757	12091392	0.0
53220.0	1787676183751	12091392	0.0
53222.0	1787676185760	12091392	0.0
53224.0	1787676187760	12091392	0.0
53226.0	1787676189759	12091392	0.0
53228.0	1787676191760	12091392	0.0
53230.0	1787676193751	12091392	0.0
53232.0	1787676195760	12091392	0.0
53234.0	1787676197759	12091392	0.0
53236.0	1787676199753	12091392	0.0
53238.0	1787676201760	12091392	0.0
53240.0	1787676203760	12091392	0.0
53242.0	1787676205760	12091392	0.0
53244.0	1787676207751	12091392	0.0
53246.0	1787676209760	12091392	0.0
53248.0	1787676211759	12091392	0.0
53250.0	1787676213760	12091392	0.0
53252.0	1787676215755	12091392	0.0
53254.0	1787676217751	12091392	0.0
53256.0	1787676219758	12091392	0.0
53258.0	1787676221754	12091392	0.0
53260.0	1787676223757	12091392	0.0
53262.0	1787676225757	12091392	0.0
53264.0	1787676227753	12091392	0.0
53266.0	1787676229751	12091392	0.0
53268.0	1787676231752	12091392	0.0
53270.0	1787676233754	12091392	0.0
53272.0	1787676235758	12091392	0.0
53274.0	1787676237760	12091392	0.0
53276.0	1787676239750	12091392	0.0
53278.0	1787676241756	12091392	0.0
53280.0	1787676243753	12091392	0.0
53282.0	1787676245758	12091392	0.0
53284.0	1787676247759	12091392	0.0
53286.0	1787676249750	12091392	0.0
53288.0	1787676251758	12091392	0.0
53290.0	1787676253758	12091392	0.0
53292.0	1787676255750	12091392	0.0
53294.0	1787676257751	12091392	0.0
53296.0	1787676259752	12091392	0.0
53298.0	1787676261760	12091392	0.0
53300.0	1787676263760	12091392	0.0
53302.0	1787676265752	12091392	0.0
53304.0	1787676267760	12091392	0.0
53306.0	1787676269751	12091392	0.0
53308.0	1787676271760	12091392	0.0
53310.0	1787676273752	12091392	0.0
53312.0	1787676275753	12091392	0.0
53314.0	1787676277759	12091392	0.0
53316.0	1787676279754	12091392	0.0
53318.0	1787676281760	12091392	0.0
53320.0	1787676283753	12091392	0.0
53322.0	1787676285752	12091392	0.0
53324.0	1787676287760	12091392	0.0
53326.0	1787676289759	12091392	0.0
53328.0	1787676291752	12091392	0.0
53330.0	1787676293756	12091392	0.0
53332.0	1787676295751	12091392	0.0
53334.0	1787676297754	12091392	0.0
53336.0	1787676299756	12091392	0.0
53338.0	1787676301760	12091392	0.0
53340.0	1787676303759	12091392	0.0
53342.0	1787676305759	12091392	0.0
53344.0	1787676307756	12091392	0.0
53346.0	1787676309759	12091392	0.0
53348.0	1787676311760	12091392	0.0
53350.0	1787676313760	12091392	0.0
53352.0	1787676315751	12091392	0.0
53354.0	1787676317753	12091392	0.0
53356.0	1787676319760	12091392	0.0
53358.0	1787676321760	12091392	0.0
53360.0	1787676323758	12091392	0.0
53362.0	1787676325760	12091392	0.0
53364.0	1787676327759	12091392	0.0
53366.0	1787676329760	12091392	0.0
53368.0	1787676331753	12091392	0.0
53370.0	1787676333752	12091392	0.0
53372.0	1787676335760	12091392	0.0
53374.0	1787676337756	12091392	0.0
53376.0	1787676339751	12091392	0.0
53378.0	1787676341756	12091392	0.0
53380.0	1787676343757	12091392	0.0
53382.0	1787676345759	12091392	0.0
53384.0	1787676347754	12091392	0.0
53386.0	1787676349751	12091392	0.0
53388.0	1787676351755	12091392	0.0
53390.0	1787676353758	12091392	0.0
53392.0	1787676355752	12091392	0.0
53394.0	1787676357756	12091392	0.0
53396.0	1787676359761	12091392	0.0
53398.0	1787676361761	12091392	0.0
53400.0	1787676363754	12091392	0.0
53402.0	1787676365756	12091392	0.0
53404.0	1787676367761	12091392	0.0
53406.0	1787676369753	12091392	0.0
53408.0	1787676371759	12091392	0.0
53410.0	1787676373761	12091392	0.0
53412.0	1787676375759	12091392	0.0
53414.0	1787676377756	12091392	0.0
53416.0	1787676379752	12091392	0.0
53418.0	1787676381752	12091392	0.0
53420.0	1787676383756	12091392	0.0
53422.0	1787676385754	12091392	0.0
53424.0	1787676387760	12091392	0.0
53426.0	1787676389761	12091392	0.0
53428.0	1787676391754	12091392	0.0
53430.0	1787676393761	12091392	0.0
53432.0	1787676395759	12091392	0.0
53434.0	1787676397759	12091392	0.0
53436.0	1787676399761	12091392	0.0
53438.0	1787676401761	12091392	0.0
53440.0	1787676403761	12091392	0.0
53442.0	1787676405755	12091392	0.0
53444.0	1787676407761	12091392	0.0
53446.0	1787676409761	12091392	0.0
53448.0	1787676411751	12091392	0.0
53450.0	1787676413751	12091392	0.0
53452.0	1787676415757	12091392	0.0
53454.0	1787676417761	12091392	0.0
53456.0	1787676419751	12091392	0.0
53458.0	1787676421757	12091392	0.0
53460.0	1787676423756	12091392	0.0
53462.0	1787676425756	12091392	0.0
53464.0	1787676427756	12091392	0.0
53466.0	1787676429761	12091392	0.0
53468.0	1787676431756	12091392	0.0
53470.0	1787676433755	12091392	0.0
53472.0	1787676435751	12091392	0.0
53474.0	1787676437758	12091392	0.0
53476.0	1787676439758	12091392	0.0
53478.0	1787676441752	12091392	0.0
53480.0	1787676443755	12091392	0.0
53482.0	1787676445757	12091392	0.0
53484.0	1787676447755	12091392	0.0
53486.0	1787676449761	12091392	0.0
53488.0	1787676451755	12091392	0.0
53490.0	1787676453761	12091392	0.0
53492.0	1787676455755	12091392	0.0
53494.0	1787676457761	12091392	0.0
53496.0	1787676459752	12091392	0.0
53498.0	1787676461752	12091392	0.0
53500.0	1787676463754	12091392	0.0
53502.0	1787676465752	12091392	0.0
53504.0	1787676467753	12091392	0.0
53506.0	1787676469756	12091392	0.0
53508.0	1787676471761	12091392	0.0
53510.0	1787676473752	12091392	0.0
53512.0	1787676475756	12091392	0.0
53514.0	1787676477756	12091392	0.0
53516.0	1787676479756	12091392	0.0
53518.0	1787676481756	12091392	0.0
53520.0	1787676483756	12091392	0.0
53522.0	1787676485761	12091392	0.0
53524.0	1787676487752	12091392	0.0
53526.0	1787676489762	12091392	0.0
53528.0	1787676491757	12091392	0.0
53530.0	1787676493762	12091392	0.0
53532.0	1787676495762	12091392	0.0
53534.0	1787676497762	12091392	0.0
53536.0	1787676499759	12091392	0.0
53538.0	1787676501756	12091392	0.0
53540.0	1787676503752	12091392	0.0
53542.0	1787676505761	12091392	0.0
53544.0	1787676507758	12091392	0.0
53546.0	1787676509756	12091392	0.0
53548.0	1787676511761	12091392	0.0
53550.0	1787676513756	12091392	0.0
53552.0	1787676515762	12091392	0.0
53554.0	1787676517760	12091392	0.0
53556.0	1787676519762	12091392	0.0
53558.0	1787676521752	12091392	0.0
53560.0	1787676523762	12091392	0.0
53562.0	1787676525752	12091392	0.0
53564.0	1787676527762	12091392	0.0
53566.0	1787676529759	12091392	0.0
53568.0	1787676531757	12091392	0.0
53570.0	1787676533755	12091392	0.0
53572.0	1787676535761	12091392	0.0
53574.0	1787676537753	12091392	0.0
53576.0	1787676539762	12091392	0.0
53578.0	1787676541757	12091392	0.0
53580.0	1787676543753	12091392	0.0
53582.0	1787676545753	12091392	0.0
53584.0	1787676547762	12091392	0.0
53586.0	1787676549758	12091392	0.0
53588.0	1787676551753	12091392	0.0
53590.0	1787676553754	12091392	0.0
53592.0	1787676555755	12091392	0.0
53594.0	1787676557753	12091392	0.0
53596.0	1787676559757	12091392	0.0
53598.0	1787676561757	12091392	0.0
53600.0	1787676563753	12091392	0.0
53602.0	1787676565760	12091392	0.0
53604.0	1787676567760	12091392	0.0
53606.0	1787676569758	12091392	0.0
53608.0	1787676571753	12091392	0.0
53610.0	1787676573754	12091392	0.0
53612.0	1787676575757	12091392	0.0
53614.0	1787676577760	12091392	0.0
53616.0	1787676579753	12091392	0.0
53618.0	1787676581757	12091392	0.0
53620.0	1787676583760	12091392	0.0
53622.0	1787676585758	12091392	0.0
53624.0	1787676587756	12091392	0.0
53626.0	1787676589761	12091392	0.0
53628.0	1787676591758	12091392	0.0
53630.0	1787676593758	12091392	0.0
53632.0	1787676595753	12091392	0.0
53634.0	1787676597762	12091392	0.0
53636.0	1787676599758	12091392	0.0
53638.0	1787676601762	12091392	0.0
53640.0	1787676603762	12091392	0.0
53642.0	1787676605762	12091392	0.0
53644.0	1787676607758	12091392	0.0
53646.0	1787676609754	12091392	0.0
53648.0	1787676611758	12091392	0.0
53650.0	1787676613762	12091392	0.0
53652.0	1787676615760	12091392	0.0
53654.0	1787676617761	12091392	0.0
53656.0	1787676619758	12091392	0.0
53658.0	1787676621760	12091392	0.0
53660.0	1787676623760	12091392	0.0
53662.0	1787676625758	12091392	0.0
53664.0	1787676627762	12091392	0.0
53666.0	1787676629755	12091392	0.0
53668.0	1787676631753	12091392	0.0
53670.0	1787676633762	12091392	0.0
53672.0	1787676635762	12091392	0.0
53674.0	1787676637762	12091392	0.0
53676.0	1787676639754	12091392	0.0
53678.0	1787676641762	12091392	0.0
53680.0	1787676643758	12091392	0.0
53682.0	1787676645756	12091392	0.0
53684.0	1787676647754	12091392	0.0
53686.0	1787676649755	12091392	0.0
53688.0	1787676651759	12091392	0.0
53690.0	1787676653760	12091392	0.0
53692.0	1787676655763	12091392	0.0
53694.0	1787676657761	12091392	0.0
53696.0	1787676659763	12091392	0.0
53698.0	1787676661756	12091392	0.0
53700.0	1787676663755	12091392	0.0
53702.0	1787676665763	12091392	0.0
53704.0	1787676667761	12091392	0.0
53706.0	1787676669759	12091392	0.0
53708.0	1787676671755	12091392	0.0
53710.0	1787676673762	12091392	0.0
53712.0	1787676675754	12091392	0.0
53714.0	1787676677754	12091392	0.0
53716.0	1787676679753	12091392	0.0
53718.0	1787676681756	12091392	0.0
53720.0	1787676683755	12091392	0.0
53722.0	1787676685755	12091392	0.0
53724.0	1787676687756	12091392	0.0
53726.0	1787676689763	12091392	0.0
53728.0	1787676691759	12091392	0.0
53730.0	1787676693759	12091392	0.0
53732.0	1787676695755	12091392	0.0
53734.0	1787676697762	12091392	0.0
53736.0	1787676699754	12091392	0.0
53738.0	1787676701763	12091392	0.0
53740.0	1787676703754	12091392	0.0
53742.0	1787676705757	12091392	0.0
53744.0	1787676707759	12091392	0.0
53746.0	1787676709760	12091392	0.0
53748.0	1787676711762	12091392	0.0
53750.0	1787676713758	12091392	0.0
53752.0	1787676715763	12091392	0.0
53754.0	1787676717760	12091392	0.0
53756.0	1787676719754	12091392	0.0
53758.0	1787676721763	12091392	0.0
